Year,Month,SFIA Direct(kWh),Data Center (kWh),Community College (kWh),Settle Tenant (kWh),Non-Settle Tenant (kWh),Usage Meter (kWh),Renewable Generation Recorded (kWh),Airport Total (kWh),Airport + Data Center + Community College Total (kWh),Tenant Total (kWh),Sum of Total (kWh),Check,SFIA Cost ($),Settle Tenant ($),Non-Settle Tenant ($),Tenant Total Cost ($),Sum of Total ($),Central Plant (Therms),Terminal Gas (Therms),Commission Gas (Therms),Tenant Gas (Therms),Non-Terminal Gas (Therms),Total (Therms),Total (kWh),Check,Central Plant $,Terminal Gas $,Commission Gas ($),Tenant Gas ($),Non-Terminal Gas $,Total $,Domestic,Double-counting Adjustment,Domestic (Adjusted),Cooling Tower,Irrigation,Sewage Treatment,Construction/Hydrant,General Maintenance,United MOC,United Hub,United T3 Hub,United  GSE,Hertz,Gate Gourmet,Post Office,Rental Car Agencies,Other Tenants,All Rental Car,Fire Protection/Maintenance,Flushing,Leakage,Airport Subtotal,Airport Subtotal (Adjusted),Airport Sub Net RSA,Airport Sub Net RSA (Adjusted) + Unmetered,Tenant Subtotal,Unmetered Subtotal,Total Consumption,Total (Sum of Subtotal),Normalized Days,Days in Billing Cycle,Billing,Passenger Traffic
2013,1,12488083.55,0,4954.83871,10032155.81,3518317.742,19735.16129,17785.16129,12507818.71,12512773.55,13550473.55,26063247.1,0,1178933.342,698694.7452,331128.4839,1029823.229,2208756.571,325799.0323,29951.6129,351488.7097,47799.67742,43537.74194,399288.3871,11699189.67,0,144645.3933,14723.34194,165427.2449,26540.07,31742.44839,191111.1836,12,3,9,1,0,0,0,1,8,0,0,0,1,2,0,1,3,1,0,0,6,14,11,11,18,15,7,33,33,30,32,226788,3204637
2013,2,12660429.64,0,5742.857143,9956887.5,3577158.214,13641.42857,24497.14286,12674071.07,12679813.93,13534045.71,26213859.64,0,1217827.104,706868.5607,343179.6214,1050048.182,2267875.286,313299.6429,35620.71429,340171.0714,54185.35714,45436.07143,394356.4286,11554682.79,0,142759.187,27780.92143,165569.8584,40437.39,38355.525,208895.6334,11,3,8,2,1,0,0,1,7,0,0,0,1,2,0,1,4,1,0,0,5,15,12,12,17,15,6,33,33,30,29,224312,2966477
2013,3,13325293.55,0,5729.032258,9880195.161,3566188.065,11907.09677,27881.6129,13337200.65,13342929.68,13446383.23,26789312.9,0,1254587.545,686800.5484,334994.4677,1021795.016,2276382.561,289813.5484,29309.03226,308400,43256.12903,32533.54839,351656.129,10303559.75,0,132791.4385,22319.85484,148349.3804,34916.56,27028.30645,182139.5998,10,2,8,1,1,0,0,2,8,0,0,0,1,2,0,1,4,2,0,0,5,14,12,12,17,16,5,33,33,30,29,227562,3593364
2013,4,13477167,0,5920,9826365,3722012,11237,31161,13488404,13494324,13548377,27042701,0,1286940.03,692925.12,354682.26,1047607.38,2334547.41,256250,30918,270776.3624,43064.10784,26672.47023,313840.4702,9195557.162,0,128477.4419,24521.34,141329.8819,35090.26,23421.36,176420.1419,11,2,9,2,2,0,0,1,8,0,0,0,1,2,0,2,3,2,0,0,7,16,14,14,21,16,8,38,38,30,30,260114,3604104
2013,5,14056593.87,0,5729.032258,9692185.161,3514083.871,9211.935484,21386.12903,14065805.81,14071534.84,13206269.03,27277803.87,0,1860193.839,948164.7387,464560.7323,1412725.471,3272919.31,239129.0323,32929.35484,253193.7838,45354.70514,26490.10183,298548.4889,8747500.58,0,121171.4504,25851.20323,133509.1343,37494.4,22771.38387,169794.0375,11,2,9,2,1,0,0,1,7,0,0,0,1,2,0,1,3,2,0,0,8,15,13,13,22,15,9,37,37,30,32,254117,3933016
2013,6,13983776,0,8080,9895535,3752771,9661,22874,13993437,14001517,13648306,27649823,0,1884576.33,985734.06,505173.81,1490907.87,3375484.2,214312,32159,225357.6126,43407.37054,22293.98316,268764.9832,7874840.883,0,109772.8728,24009.06,119222.2128,33232.49,18672.77,152454.7028,12,2,10,3,1,0,0,3,7,0,0,0,1,2,0,1,3,2,0,0,4,20,17,17,22,16,5,38,38,30,29,263579,4146797
2013,7,14042404.59,0,4335.483871,13754717.67,0,16114.83871,780,14058519.42,14062854.91,13754717.67,27817572.58,0,1879871.641,1841358.688,0,1841358.688,3721230.329,220409.0323,29853.87097,230525.0806,40047.69677,20309.87419,270572.7774,7927809.436,0,105072.0075,21790.77097,113535.443,30925.6,16600.66452,143463.443,10,2,8,2,1,0,0,1,7,0,0,0,1,2,0,1,3,2,0,0,11,14,12,12,25,14,12,39,39,30,33,282580,4176486
2013,8,14880558.39,0,0,13361412.58,0,10901.6129,19946.12903,14891460,14891460,13361412.58,28252872.58,0,1981917.174,1778441.845,0,1778441.845,3760359.019,214855.1613,28497.09677,223985.8142,37253.85498,17887.41111,261239.6692,7654348.431,0,99936.96306,20387.98065,107459.4147,28344.44,14564.57419,134889.5179,14,3,11,5,1,0,0,0,8,0,0,0,1,3,0,1,4,2,0,0,3,20,18,18,21,17,4,38,38,30,30,278973,4347059
2013,9,14474661,0,5360,13683284,0,12232,52477,14486893,14492253,13683284,28175537,0,1926432.86,1818509.49,0,1818509.49,3744942.35,187582,32269,198542.88,43981.96851,22673.84851,242524.8485,7106002.314,0,88345.64565,22317.14,97079.53565,31242.47,17659.22,128322.0057,15,3,12,5,1,0,0,1,8,0,0,0,1,3,0,1,4,2,0,0,0,22,19,19,20,18,0,37,37,30,29,269292,3781168
2013,10,13972561.94,0,5187.096774,13484284.84,0,16342.25806,42898.06452,13988904.19,13994091.29,13484284.84,27478376.13,0,1864360.965,1795903.181,0,1795903.181,3660264.145,240969.6774,30232.25806,256240.6452,43402.25806,28440.96774,299642.9032,8779567.029,0,112889.3577,23468.67097,126127.4867,36011.26,24619.06452,160977.0931,9,2,7,3,2,0,0,1,7,0,0,0,1,3,0,1,3,1,0,0,6,15,13,13,19,15,6,34,34,30,32,250581,3926441
2013,11,13632489,0,6080,13301140,0,9867,22651,13642356,13648436,13301140,26949576,0,1314515.28,1280504.72,0,1280504.72,2595020,275037,31622,301372.3341,51129.43924,45842.77337,352501.7734,10328337.21,0,134975.0234,26558.15,158730.2734,43969,41166.1,202699.2734,12,2,9,2,1,0,0,1,8,0,0,0,1,3,0,1,3,1,0,0,1,16,14,14,16,16,2,32,32,30,29,231200,3466878
